Node,Cluster
702594325625085952,1
83185672,1
489722273,1
983253218,1
562823508,1
404088514,1
50338513,1
1467415374,1
79814913,1
2150969605,1
7844932,1
164225784,1
30656303,1
2894775544,1
63722830,1
391379955,1
526552069,1
481359440,1
201412456,1
75881487,1
416466936,1
1102070556,1
93691257,1
59746019,1
458368651,1
2290924705,1
1160212783,1
1023906182,1
2776509252,1
2192271144,1
3312179327,1
1078134512,1
1140264841,1
410808584,1
486988544,1
248176574,1
27927840,1
107582221,1
465390684,1
302708364,1
445332184,1
154082631,1
39475962,1
57282569,1
9234892,1
275225571,1
170684718,1
130851801,1
558591392,1
472989062,1
293504218,1
60624433,1
395385134,1
325564671,1
79385667,1
466920481,1
96143583,1
853678268,1
1070732071,1
69598685,1
229082336,1
3345672868,1
3191220899,1
1171761254,1
296732220,1
71204488,1
385408308,1
2927010322,1
388572693,1
2479381757,1
495955147,1
953901380,1
432926462,1
255448965,1
426038482,1
74759588,1
398291306,1
439397412,1
250649897,1
188043254,1
425261926,1
14145846,1
528480384,1
714002059,1
74090914,1
293373251,1
1270403142,1
607981040,1
239411530,1
472149764,1
16402819,1
33725783,1
255199851,1
38205384,1
4405998622,1
97650801,1
375505860,1
1607823997,1
1134403255,1
851112127,1
1482475178,1
24149582,1
183292987,1
156729839,1
536600780,1
2328471661,1
452327968,1
433694235,1
473838944,1
1227625616,1
527149082,1
403430248,1
2342104352,1
1851912031,1
328133320,1
1254324948,1
2184417408,1
1258572001,1
2421745238,1
318575239,1
68006505,1
299780153,1
519529163,1
3070700175,1
422512736,1
2358348371,1
303307834,1
2166946698,1
150196030,1
2252032623,1
415618260,1
795585541,1
613567387,1
28098604,1
172170794,1
2366461149,1
485844145,1
4197625936,1
3022681938,1
2950936654,1
348493456,1
2355256140,1
1264018218,1
1627870369,1
318553195,1
2447002185,1
295754318,1
892990969,1
31255401,1
506387757,1
453044594,1
215728045,1
3946391800,1
2403776046,1
3613181357,1
2741727190,1
1539421987,1
2878223753,1
458146177,1
387349892,1
619969557,1
995271438,1
292417838,1
570833587,1
2431061097,1
2980425346,1
1327701390,1
51522357,1
1932231254,1
985080900,1
412264581,1
605614784,1
22011746,1
393383204,1
86209782,1
2332651824,1
314059678,1
2296153657,1
1729205360,1
594423854,1
389358538,1
16222806,1
602125481,1
780621571,1
2342517254,1
715284283749974016,1
1412754547,1
483057175,1
1726027441,1
29236274,1
415571726,1
332894847,1
538147915,1
1429974884,1
70388928,1
409518536,1
573872757,1
145561037,1
1710375336,1
1245841746,1
1015440260,1
202113803,1
255505106,1
97241568,1
425902454,1
566720919,1
295592416,1
1331086867,1
146738509,1
586498147,1
33994488,1
533959367,1
472905491,1
483434707,1
965956884,1
1084193910,1
3094835193,1
292487530,1
2469186961,1
851233315,1
270623814,1
2523568577,1
941567396,1
679763,1
5847962,1
452970006,1
4914915772,1
2582226552,1
937796372,1
407810895,1
478124356,1
343895398,1
2435083828,1
254625981,1
4055569005,1
328473338,1
541527026,1
409512109,1
1319275574,1
401650330,1
214475387,1
978488840,1
434279064,1
346421096,1
397573326,1
130982265,1
429928689,1
2149778921,1
418932368,1
3047887129,1
486759593,1
134431419,1
377872873,1
2544005815,1
562522191,1
1684754797,1
519270696,1
3331413322,1
387043149,1
899443068,1
96333128,1
2354462598,1
2347131464,1
347907371,1
3168011729,1
1606319989,1
440756482,1
87967184,1
3126510327,1
2827362754,1
231198437,1
89518361,1
394086402,1
321264725,1
224594895,1
99925189,1
517934877,1
458347992,1
2585782921,1
419339559,1
3350883077,1
605229354,1
145802194,1
2858759915,1
70951142,1
493833883,1
409500620,1
419181815,1
479810905,1
1183974055,1
234134162,1
973525898,1
828717014,1
1288209314,1
3173819499,1
47686952,1
271890712,1
36030252,1
60398437,1
940908996,1
399356077,1
1433286055,1
169387991,1
1208394690,1
202220952,1
2260822969,1
257499288,1
47756372,1
2323632758,1
118513045,1
156316785,1
18680083,1
458719075,1
16145985,1
2459950812,1
1283811182,1
83449728,1
634999260,1
593742754,1
19067940,1
126677638,1
55404019,1
5427422,1
289400495,1
1376730776,1
1354935949,1
7697992,1
522078771,1
146448681,1
3337657533,1
210501383,1
2920005634,1
1357199719,1
55212559,1
384431924,1
7111232,1
845313296,1
1260487207,1
420538698,1
411011613,1
1290097460,1
51781061,1
2832335447,1
598279585,1
393342562,1
405426716,1
372344749,1
400755376,1
1128365564,1
169248718,1
195787575,1
389122971,1
303354087,1
46715834,1
57052200,1
4114741037,1
216361540,1
438176540,1
38139984,1
140133595,1
43503218,1
120389213,1
2920441331,1
1344131071,1
318487854,1
400035492,1
365664894,1
1073360574,1
1342578204,1
3018290121,1
128471504,1
2295223756,1
321313255,1
2933613009,1
533329366,1
56819005,1
178685251,1
2652070796,1
616442617,1
290114076,1
133461180,1
384437761,1
17062107,1
558661103,1
49069028,1
1362895116,1
20515207,1
281358271,1
2394791163,1
461219174,1
385890505,1
2783540673,1
25105210,1
313323905,1
90845433,1
619856478,1
614259382,1
424474105,1
1076649404,1
140419227,1
518549338,1
473027302,1
174295922,1
899865349,1
1480106364,1
1224121074,1
460275730,1
2748105759,1
1063011624,1
225168723,1
1035238824,1
22958706,1
945141198,1
170019149,1
526293847,1
3059131623,1
1657179714,1
13307732,1
126691082,1
784398647471595520,1
264047932,1
2243490855,1
3242519025,1
53052632,1
342366415,1
2438762476,1
101180833,1
2460156105,1
3064631746,1
314537220,1
918863641,1
382539264,1
490478414,1
2608779441,1
447896469,1
1402978436,1
197389394,1
497763567,1
1190283926,1
3065987998,1
1358611800,1
379296972,1
532666601,1
1064357792,1
3333764236,1
1263818557,1
436870309,1
429009401,1
2272916900,1
3309670823,1
2255386492,1
2872332023,1
431884957,1
2203488436,1
1372497578,1
516664834,1
378489654,1
481225656,1
583980924,1
904438754,1
1374652910,1
306925405,1
3052918302,1
575708094,1
13047402,1
2300003405,1
3135061,1
508128810,1
559265836,1
1229121186,1
2494181366,1
69532732,1
2218411411,1
212870758,1
521748405,1
2909929737,1
955561676,1
1888044751,1
236565724,1
253037330,1
212496035,1
1116320838,1
141529750,1
4355692264,1
473107684,1
22130220,1
439326726,1
1278879775,1
2464828514,1
1228034526,1
81116943,1
100964035,1
448998373,1
55678400,1
33676387,1
1139422028,1
2944294475,1
430554250,1
213274510,1
305258223,1
261663837,1
817413728,1
1109639072,1
743821644150476800,1
2749231737,1
93591010,1
1224996284,1
2352305154,1
3348796875,1
481929883,1
81837035,1
3426670696,1
558032072,1
438849246,1
974102796,1
2730593590,1
1338703794,1
2366997321,1
936592027,1
3070646573,1
4046411357,1
1222888213,1
395759988,1
515698229,1
3077774103,1
3036745805,1
1041823142,1
1849672393,1
1357812068,1
407685967,1
186221116,1
2279399816,1
2359406918,1
435173619,1
4810630096,1
1933284714,1
266700017,1
806305806,1
2421023606,1
2754543846,1
268910347,1
1588323260,1
1119223279,1
332921113,1
443563578,1
4446307913,1
3239016405,1
55549791,1
3025368046,1
624603613,1
1464788840,1
513497583,1
62004025,1
1074200670,1
2909504255,1
1205594306,1
3008182149,1
452010658,1
574765497,1
97654241,1
72248630,1
29226134,1
1086700214,1
526530582,1
9940892,1
717268101,1
2361121173,1
410584380,1
385512892,1
2895077031,1
18577800,1
753620675970142208,1
2535866450,1
2845737279,1
1314132968,1
531505166,1
1849153957,1
89212874,1
1052596340,1
1384446301,1
1701836234,1
932376896,1
3256271740,1
1244644430,1
433717645,1
737693,1
1168596805,1
1360232480,1
553392203,1
2375301992,1
1420443511,1
1043011003,1
545384133,1
752810412349988864,1
1281410628,1
407937988,1
192899133,1
798939482,1
15191260,1
1059877728,1
522591515,1
2956811146,1
2447803388,1
1111297184,1
634434387,1
4144056819,1
3053055853,1
804961884,1
3019629387,1
2386237696,1
582622919,1
369490296,1
321510042,1
815731375,1
1260162366,1
773074386,1
471141787,1
1447157665,1
200028163,1
39454080,1
262698479,1
20430345,1
2281281002,1
708773624,1
45937235,1
4818092890,1
2353797636,1
1857295158,1
295961054,1
454050209,1
61160450,1
1367265864,1
2353634446,1
504658270,1
4098447160,1
2939010891,1
475827565,1
2201613873,1
4919661688,1
616632747,1
292063590,1
378831710,1
723554251612499968,1
87962275,1
3038103838,1
4372999402,1
422502823,1
329152979,1
859927674,1
434411738,1
304306690,1
416540516,1
2961865803,1
332885533,1
4361587528,1
954210997,1
506170223,1
3167163237,1
430127505,1
17028890,1
58768691,1
56674519,1
1591397198,1
2603850468,1
2936766136,1
272887017,1
304467533,1
258062486,1
422177795,1
864323299,1
723094218734862336,1
591144361,1
431547715,1
54988878,1
974656363,1
1037692622,1
79991599,1
423780098,1
131197741,1
421914873,1
336007986,1
4133217027,1
1913671255,1
978934117,1
1712830392,1
2919591365,1
556818121,1
2370221592,1
128870883,1
476836933,1
3034434386,1
2333203880,1
2481748609,1
397853516,1
1050697136,1
30248306,1
2680617799,1
1151876744,1
804354408,1
410828204,1
420419717,1
1256727248,1
998138210,1
85136516,1
3299546625,1
255674310,1
247505099,1
150725695,1
131292189,1
2846820109,1
509157552,1
1343834791,1
453851050,1
1324893229,1
70954365,1
1032615842,1
1886063070,1
395218906,1
1341462944,1
33205675,1
851310290,1
35564742,1
29416653,1
6361512,1
481154512,1
2375661338,1
473153266,1
585391357,1
132810751,1
597453726,1
875752152,1
462829190,1
1392007184,1
87950192,1
2493142851,1
1638143131,1
724723402968276992,1
3042356055,1
430437851,1
125153897,1
98732981,1
70380540,1
402997564,1
191490413,1
339672122,1
223899265,1
395990396,1
229804443,1
1307016348,1
405919398,1
418259535,1
391955295,1
481457729,1
293634665,1
394787464,1
916326246,1
587805027,1
343428085,1
67314908,1
33982163,1
83367663,1
82673876,1
97281454,1
970440781,1
104239528,1
548616993,1
1509825860,1
1076086058,1
546791475,1
865193857,1
4726174575,1
987344071,1
1672302936,1
2367178591,1
61877999,1
1405748826,1
282240212,1
426464556,1
87964051,1
1406189706,1
1050781381,1
9808092,1
109659461,1
487751312,1
2560295545,1
1150340664,1
714417878,1
101573147,1
4034460233,1
359555283,1
44370691,1
553646924,1
373481031,1
2914562626,1
2166133390,1
236362651,1
1249912915,1
52011737,1
2319748337,1
1603515306,1
303278808,1
413217587,1
2350203541,1
501874833,1
443167956,1
291678033,1
1040184410,1
91380029,1
219406236,1
376610294,1
402819013,1
2224974581,1
1566553698,1
2716739703,1
53632842,1
702690830,1
51067487,1
2322998168,1
1053075751,1
540895773,1
221902171,1
476224626,1
331005596,1
462701585,1
422131372,1
529247064,1
1389629858,1
267174899,1
561196931,1
1020682760,1
2319542538,1
524597055,1
1438986181,1
532545883,1
455110305,1
525364699,1
191814638,1
35298549,1
399624734,1
247726328,1
774267120268050432,1
151029385,1
50662478,1
84554567,1
14227296,1
434839840,1
2218697421,1
831768450,1
525146253,1
439809336,1
184425554,1
1028678899,1
441651345,1
448088280,1
1291656504,1
1047886850,1
2811134706,1
8226422,1
1250267900,1
3926735649,1
771613884,1
247369956,1
491362972,1
24956825,1
126680070,1
53053554,1
10280002,1
2263675613,1
330349571,1
3217393599,1
972414750,1
100303468,1
542327855,1
991446290,1
778900450812764160,1
318615150,1
17010300,1
486764261,1
272402900,1
2366719264,1
1248044209,1
1009243501,1
430565411,1
415608754,1
39240661,1
417904049,1
560509154,1
515380651,1
1434038420,1
608149538,1
343239720,1
139764514,1
232575488,1
1317015313,1
908206586,1
2191248370,1
953887928,1
48996987,1
131946542,1
432950146,1
116468336,1
533176044,1
1619917472,1
1010779513,1
13284492,1
1379733312,1
376218450,1
863031162,1
16953120,1
197381599,1
7950242,1
353888721,1
39021064,1
84130259,1
14235101,1
460611317,1
1300370167,1
402135794,1
392626820,1
300814551,1
483005204,1
515635680,1
379030092,1
160011017,1
152977521,1
1333864027,1
553715474,1
533473166,1
437775911,1
585439502,1
3124933529,1
19531637,1
2424988655,1
1053176233,1
2419891337,1
952494133,1
1009225098,1
449850313,1
2883998483,1
256491020,1
860205385,1
514714806,1
37631819,1
2281936099,1
61227039,1
2557627068,1
3360251476,1
3244161467,1
2326306186,1
2948429116,1
3256208777,1
2605945762,1
224310474,1
3217923085,1
589253599,1
1962856872,1
2414070806,1
357374751,1
989485837,1
1408457424,1
417111368,1
413455293,1
411849829,1
1591737049,1
13728662,1
184015853,1
3385105642,1
584528289,1
2282030010,1
278743750,1
2986211373,1
470180296,1
329600452,1
1216273854,1
965897887,1
2854719148,1
402352368,1
207211184,1
389115081,1
717532001,1
900247297,1
1015814694,1
749248856,1
248669645,1
1097778030,1
949414074,1
972872618,1
2321180143,1
426774983,1
915191390,1
45400255,1
55238295,1
2625302733,1
822160142,1
1260351403,1
999283472,1
470301475,1
47154019,1
6439122,1
753910937770418176,1
1368850908,1
1333369999,1
2798224784,1
69554901,1
2951613610,1
127025568,1
162103856,1
282593537,1
1146441836,1
290093767,1
420635476,1
1072331106,1
402048742,1
379256309,1
629583176,1
206180236,1
210573372,1
706522020016746496,1
2327584543,1
422794585,1
718402632126197760,1
2197727347,1
61624078,1
3299563144,1
2768667015,1
630961303,1
807581581,1
1017057949,1
465471249,1
77554140,1
106204756,1
728804562,1
920435114,1
396185916,1
962439266,1
2548419224,1
742950892786290688,1
192886030,1
400919857,1
215735286,1
3758739195,1
440691898,1
476661302,1
589418956,1
1320488653,1
547936685,1
1168797480,1
14158218,1
371415996,1
3843282933,1
2523336293,1
2231561825,1
2473375067,1
476933615,1
484771907,1
1709629910,1
420351046,1
241289430,1
15392102,1
365552092,1
191524366,1
831665582,1
979279446,1
22834067,1
422340734,1
870647947,1
1071485604,1
483384295,1
1125077892,1
2211353832,1
1318108844,1
836271002,1
496477841,1
598558484,1
1454233897,1
2153812941,1
590188450,1
1398174300,1
3741476776,1
430844411,1
718008585,1
85167868,1
111009571,1
1583259805,1
2929621361,1
317769975,1
1147664360,1
448732675,1
1209210108,1
2200075155,1
19592755,1
590833841,1
1926324451,1
516918398,1
2343678391,1
154808415,1
919502593,1
2305531562,1
779673493847801856,1
1081169252,1
346518147,1
475234937,1
203000387,1
181171727,1
2465901637,1
743924448,1
1681073648,1
370639956,1
1717274785,1
1063037172,1
22009205,1
153342663,1
1410209468,1
391485689,1
14060262,1
369400663,1
513144334,1
417897223,1
469398862,1
496437886,1
392656492,1
383739575,1
1387461,1
2811414913,1
180004814,1
379262450,1
1562752760,1
986811270,1
3008526447,1
2725711188,1
312666968,1
869332554,1
1289667200,1
2420586324,1
724477963,1
751315632134717440,1
855410450,1
32624061,1
904491504,1
849590082,1
29428344,1
929354545,1
444623589,1
860015294,1
3024921597,1
58891895,1
101086929,1
1428360464,1
76769340,1
51274770,1
617234985,1
1069206085,1
480023608,1
305269020,1
2448102733,1
493524331,1
3292905852,1
545448505,1
98212000,1
3299318579,1
821719770,1
2482305961,1
1893025346,1
167933227,1
191737043,1
319578825,1
99125540,1
3957645843,1
1283446118,1
151639390,1
463347621,1
22005584,1
283636579,1
561375612,1
1852433868,1
247722432,1
899952481,1
2376999356,1
953895188,1
535318339,1
483297165,1
56341776,1
759003465808883712,1
104485125,1
55527972,1
394613,1
17214580,1
104960470,1
801754,1
36079217,1
126049704,1
2921143773,1
424997954,1
1092735302,1
115955798,1
312613461,1
404048864,1
957461155,1
105511487,1
26555279,1
1707854503,1
1408543448,1
1278347502,1
521182595,1
1250202577,1
65335565,1
606259626,1
768921750,1
1139875363,1
1260171894,1
377660882,1
2801845471,1
906858110,1
510080672,1
1412896242,1
387198659,1
892954382,1
2882381601,1
405170821,1
467389922,1
2921447206,1
853635661,1
345918295,1
414978233,1
702953522602635264,1
794136385,1
306363599,1
1057930387,1
857753196,1
2872452713,1
858003427,1
371781632,1
2530670296,1
2497838698,1
479614754,1
92937715,1
535729333,1
1063034107,1
95630884,1
365462238,1
3115905790,1
2256151688,1
431706859,1
1164336541,1
964460408,1
385923471,1
326226399,1
472925525,1
473340894,1
447370939,1
416018070,1
468352501,1
396103010,1
403764932,1
318538251,1
22605126,1
1103812855,1
3129371745,1
1578337921,1
3060280966,1
2764299866,1
167058261,1
466594672,1
703708224168599552,1
808738393,1
736469367379087360,1
518540282,1
1084360147,1
477757835,1
500963329,1
562063761,1
2515144546,1
151420411,1
325127006,1
993110552,1
861812858,1
163879703,1
1343975432,1
228249426,1
124236178,1
437792860,1
549451829,1
1120077589,1
1053096115,1
1880399689,1
96319859,1
140772582,1
583877210,1
2241274927,1
3088659569,1
598374852,1
2318726325,1
514794207,1
1429964996,1
2608133516,1
426094795,1
26723126,1
25732270,1
615943451,1
3028742807,1
1116671611,1
4249591816,1
3371020601,1
1586042605,1
2267806358,1
3034643483,1
1112850756,1
52731955,1
634575700,1
441863803,1
1038231816,1
1510136666,1
20423071,1
472966889,1
2812961,1
67710936,1
2727002045,1
2306307694,1
2689665578,1
334811128,1
877434170,1
251663248,1
18935802,1
1380510872,1
453071336,1
4867831151,1
539098109,1
73971750,1
1134804595,1
4910181370,1
424153335,1
230817595,1
430169858,1
417947467,1
902588736,1
429054107,1
148481393,1
2862441234,1
478607229,1
47925074,1
437533038,1
428411345,1
122014351,1
16867526,1
2233502635,1
235323455,1
434752212,1
256163349,1
802515553,1
569974381,1
356219289,1
696595370395172864,1
2164698989,1
738311371255906304,1
1126411814,1
461088423,1
298079436,1
440724583,1
298502247,1
466456399,1
454191208,1
230696135,1
725949864,1
582909177,1
522667905,1
263858624,1
60608418,1
592647058,1
2792050237,1
270839361,1
412670404,1
1530798872,1
61154684,1
2973508025,1
499214987,1
4813826602,1
39115395,1
161740961,1
51792460,1
1044932990,1
381611850,1
1055367092,1
3096871079,1
1278858271,1
65444000,1
16401526,1
425039950,1
443910842,1
617476851,1
2872007299,1
3119071163,1
106738070,1
236621542,1
198199124,1
149060372,1
453340945,1
406880559,1
106673706,1
117407713,1
2751256629,1
87467449,1
2176575594,1
551303014,1
118978778,1
195689744,1
811414452,1
79963123,1
73598124,1
478894654,1
